Date and time,Temperature,Description
2017-11-01 00:00:00,276.150,broken clouds
2017-11-01 01:00:00,275.700,scattered clouds
2017-11-01 02:00:00,275.610,overcast clouds
2017-11-01 03:00:00,275.350,broken clouds
2017-11-01 04:00:00,275.240,broken clouds
2017-11-01 05:00:00,275.050,overcast clouds
2017-11-01 06:00:00,275.140,overcast clouds
2017-11-01 07:00:00,275.230,overcast clouds
2017-11-01 08:00:00,275.230,overcast clouds
2017-11-01 09:00:00,275.320,overcast clouds
2017-11-01 10:00:00,275.230,overcast clouds
2017-11-01 11:00:00,275.510,overcast clouds
2017-11-01 12:00:00,275.690,overcast clouds
2017-11-01 13:00:00,275.790,overcast clouds
2017-11-01 14:00:00,275.850,broken clouds
2017-11-01 15:00:00,276.600,broken clouds
2017-11-01 16:00:00,277.540,sky is clear
2017-11-01 17:00:00,278.320,overcast clouds
2017-11-01 18:00:00,279.350,overcast clouds
2017-11-01 19:00:00,279.520,overcast clouds
2017-11-01 20:00:00,279.700,overcast clouds
2017-11-01 21:00:00,279.340,mist
2017-11-01 22:00:00,278.930,mist
2017-11-01 23:00:00,278.510,mist
2017-11-02 00:00:00,278.320,mist
2017-11-02 01:00:00,278.420,mist
2017-11-02 02:00:00,278.850,drizzle
2017-11-02 03:00:00,279.060,light rain
2017-11-02 04:00:00,279.550,light rain
2017-11-02 05:00:00,279.750,light rain
2017-11-02 06:00:00,280.350,light rain
2017-11-02 07:00:00,280.600,moderate rain
2017-11-02 08:00:00,280.840,fog
2017-11-02 09:00:00,281.130,fog
2017-11-02 10:00:00,281.340,fog
2017-11-02 11:00:00,281.540,fog
2017-11-02 12:00:00,281.440,light rain
2017-11-02 13:00:00,281.940,fog
2017-11-02 14:00:00,281.920,fog
2017-11-02 15:00:00,282.340,light intensity drizzle
2017-11-02 16:00:00,282.540,light intensity drizzle
2017-11-02 17:00:00,283.330,mist
2017-11-02 18:00:00,283.630,mist
2017-11-02 19:00:00,283.540,light intensity drizzle
2017-11-02 20:00:00,283.250,moderate rain
2017-11-02 21:00:00,282.940,light rain
2017-11-02 22:00:00,283.040,drizzle
2017-11-02 23:00:00,282.840,drizzle
